condition,depth,n,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_replays,oh_model_calls,oh_fhir_reads,oh_capsule_bytes,oh_wall_seconds
A,2,20,0.3333,0.0,1.0,1.0,0.75,0.0,0.1667,1.0,0.0,0.0,0.0,0.0,0.0
A,3,40,0.25,0.0,1.0,1.0,0.75,0.0,0.0938,1.0,0.0,0.0,0.0,0.0,0.0
A,4,40,0.25,0.0,1.0,1.0,0.75,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
B,2,20,0.3333,0.0,1.0,1.0,0.75,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
B,3,40,0.25,0.0,1.0,1.0,0.75,0.0,0.0714,1.0,0.0,0.0,0.0,0.0,0.0
B,4,40,0.25,0.0,1.0,1.0,0.75,0.0,0.0833,1.0,0.0,0.0,0.0,0.0,0.0
C,2,20,0.0,1.0,0.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,3,40,0.0,1.0,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,4,40,0.0,1.0,0.2778,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D,2,20,0.15,0.55,1.0,1.0,0.875,0.0,0.04,0.0,0.8,1.6,2.15,4845.25,0.0216
D,3,40,0.1833,0.4167,1.0,1.0,0.825,0.0,0.0393,0.0,0.775,1.55,2.525,5142.925,0.0217
D,4,40,0.1917,0.3042,0.95,0.9875,0.8125,0.0,0.0625,0.0,0.85,1.7,2.7,5201.325,0.0211
E,2,20,0.15,0.55,1.0,1.0,0.875,0.0,0.04,0.0,1.6,2.95,3.8,4845.25,0.0193
E,3,40,0.1833,0.4167,1.0,1.0,0.825,0.0,0.0357,0.0,1.55,2.825,4.5,5142.925,0.0214
E,4,40,0.1917,0.3042,0.95,1.0,0.8125,0.0,0.0611,0.0,1.7,2.925,4.45,5201.325,0.0204
F,2,20,0.0,1.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16059.15,0.052
F,3,40,0.0,1.0,0.3452,0.3333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17424.0,0.0624
F,4,40,0.0,1.0,0.3444,0.2679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22373.55,0.0752
G,2,20,0.0,1.0,0.75,0.875,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,3,40,0.0,1.0,0.75,0.8667,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,4,40,0.0,1.0,0.75,0.8646,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H,2,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5,2.5,3.0,0.0,0.0
H,3,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.75,2.75,4.5,0.0,0.0
H,4,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5,3.5,5.25,0.0,0.0
I,2,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.5,11.0,15.0,6853.4,0.0369
I,3,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.75,12.0,20.0,8170.15,0.0511
I,4,40,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.5,16.75,26.75,10045.775,0.0604
