condition,family,n,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_replays,oh_model_calls,oh_fhir_reads,oh_capsule_bytes,oh_wall_seconds
A,F1,30,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A,F2,20,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A,F3,30,0.3333,0.0,1.0,1.0,1.0,0.0,0.3694,1.0,0.0,0.0,0.0,0.0,0.0
A,F4,20,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,F1,30,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,F2,20,0.3333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B,F3,30,0.3333,0.0,1.0,1.0,1.0,0.0,0.273,1.0,0.0,0.0,0.0,0.0,0.0
B,F4,20,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F1,30,0.0,1.0,0.4243,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F2,20,0.0,1.0,0.1825,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F3,30,0.0,1.0,0.273,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,F4,20,0.0,1.0,0.127,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D,F1,30,0.2,0.4389,1.0,1.0,0.7,0.0,0.0,0.0,1.2667,2.5333,3.5333,6004.8333,0.0251
D,F2,20,0.2667,0.2,1.0,1.0,0.6,0.0,0.0,0.0,0.3,0.6,1.1,3942.45,0.0178
D,F3,30,0.2222,0.4556,1.0,1.0,1.0,0.0,0.1624,0.0,0.8,1.6,2.5333,5075.2,0.0212
D,F4,20,0.0,0.45,0.9,0.975,1.0,0.0,0.0,0.0,0.65,1.3,2.4,4971.25,0.0198
E,F1,30,0.2,0.4389,1.0,1.0,0.7,0.0,0.0,0.0,2.5333,4.3,5.5333,6004.8333,0.0252
E,F2,20,0.2667,0.2,1.0,1.0,0.6,0.0,0.0,0.0,0.6,1.1,2.0,3942.45,0.0159
E,F3,30,0.2222,0.4556,1.0,1.0,1.0,0.0,0.1558,0.0,1.6,3.0,4.6667,5075.2,0.0202
E,F4,20,0.0,0.45,0.9,1.0,1.0,0.0,0.0,0.0,1.3,2.4,4.4,4971.25,0.0188
F,F1,30,0.0,1.0,0.4243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21813.0333,0.07
F,F2,20,0.0,1.0,0.3667,0.619,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14996.6,0.0627
F,F3,30,0.0,1.0,0.273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22111.0,0.0691
F,F4,20,0.0,1.0,0.2667,0.5833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14771.6,0.0556
G,F1,30,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,F2,20,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,F3,30,0.0,1.0,0.6389,0.7944,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,F4,20,0.0,1.0,0.2917,0.6458,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H,F1,30,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,4.6667,0.0,0.0
H,F2,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5,2.5,4.5,0.0,0.0
H,F3,30,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.6667,0.0,0.0
H,F4,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0
I,F1,30,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,17.0,24.0,10925.2333,0.0626
I,F2,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.5,10.5,18.5,7580.0,0.0512
I,F3,30,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,15.0,24.0,8758.5333,0.0511
I,F4,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,10.0,18.0,6179.6,0.0382
