condition,provenance,n,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_replays,oh_model_calls,oh_fhir_reads,oh_capsule_bytes,oh_wall_seconds
A,complete,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
A,random20,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
A,random40,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
A,random60,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
A,targeted,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.1108,1.0,0.0,0.0,0.0,0.0,0.0
B,complete,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
B,random20,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
B,random40,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
B,random60,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
B,targeted,20,0.2667,0.0,1.0,1.0,0.75,0.0,0.0819,1.0,0.0,0.0,0.0,0.0,0.0
C,complete,20,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,random20,20,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,random40,20,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,random60,20,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C,targeted,20,0.0,1.0,0.2711,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D,complete,20,0.0,1.0,0.95,0.9875,1.0,0.0,0.0,0.0,2.1,4.2,6.8,8905.4,0.037
D,random20,20,0.1833,0.4458,0.975,0.9938,0.825,0.0,0.05,0.0,0.95,1.9,2.8,5466.55,0.0222
D,random40,20,0.2333,0.2625,0.975,0.9938,0.8,0.0,0.07,0.0,0.55,1.1,1.65,4322.15,0.0183
D,random60,20,0.25,0.1,1.0,1.0,0.775,0.0,0.0819,0.0,0.15,0.3,0.45,3163.95,0.0138
D,targeted,20,0.2333,0.1833,1.0,1.0,0.75,0.0,0.0417,0.0,0.3,0.6,0.9,3675.7,0.0159
E,complete,20,0.0,1.0,0.95,1.0,1.0,0.0,0.0,0.0,4.2,7.3,11.4,8905.4,0.0386
E,random20,20,0.1833,0.4458,0.975,1.0,0.825,0.0,0.0476,0.0,1.9,3.4,4.8,5466.55,0.0225
E,random40,20,0.2333,0.2625,0.975,1.0,0.8,0.0,0.0676,0.0,1.1,2.0,2.9,4322.15,0.0162
E,random60,20,0.25,0.1,1.0,1.0,0.775,0.0,0.0819,0.0,0.3,0.55,0.8,3163.95,0.012
E,targeted,20,0.2333,0.1833,1.0,1.0,0.75,0.0,0.0365,0.0,0.6,1.2,1.8,3675.7,0.0135
F,complete,20,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19139.45,0.0666
F,random20,20,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19128.65,0.0664
F,random40,20,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19127.75,0.0638
F,random60,20,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19122.65,0.0665
F,targeted,20,0.0,1.0,0.3359,0.2405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19135.75,0.0638
G,complete,20,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,random20,20,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,random40,20,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,random60,20,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
G,targeted,20,0.0,1.0,0.75,0.8675,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H,complete,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
H,random20,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
H,random40,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
H,random60,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
H,targeted,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,4.5,0.0,0.0
I,complete,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,8658.7,0.0514
I,random20,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,8653.2,0.0532
I,random40,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,8656.4,0.0531
I,random60,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,8655.95,0.0511
I,targeted,20,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.8,13.7,21.7,8661.0,0.0511
