condition,incident_id,family,depth,provenance,edge_loss,rwh,descendant_recall,descendant_precision,bsr,rts,false_repair_rate,uer,drr,oh_fhir_reads,oh_model_calls,oh_replays,oh_writes,n_true_contaminated,n_neutralised,n_touched,n_clean,n_retained,n_repaired,n_followups,n_wrong_followups,oh_wall_seconds,oh_capsules,oh_capsule_bytes,oh_rounds
A,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
B,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
C,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,5,3,0,0,2,0,,,,
D,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,4,2,0,2,2,2,3,3,0,2,0,0.0339,9.0,7965.0,3.0
E,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,7,4,2,2,2,2,3,3,2,2,0,0.0357,9.0,7965.0,3.0
F,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,5,3,0,0,2,0,0.044,18.0,15935.0,2.0
G,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,2,2,2,3,3,0,2,0,,,,
H,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,3,2,2,2,2,2,3,3,2,2,0,,,,
I,INC-F1-T-ID-01-d2-complete-s0,F1,2,complete,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,12,7,2,2,2,2,3,3,2,2,0,0.0383,9.0,7965.0,2.0
A,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
B,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
C,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.0,1.0,0.4,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,5,3,0,0,2,0,,,,
D,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,4,2,0,2,2,2,3,3,0,2,0,0.037,9.0,7950.0,3.0
E,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,7,4,2,2,2,2,3,3,2,2,0,0.0328,9.0,7950.0,3.0
F,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,5,3,0,0,2,0,0.0471,18.0,15913.0,2.0
G,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,2,2,2,3,3,0,2,0,,,,
H,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,3,2,2,2,2,2,3,3,2,2,0,,,,
I,INC-F1-T-ID-01-d2-random20-s0,F1,2,random20,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,12,7,2,2,2,2,3,3,2,2,0,0.0449,9.0,7950.0,2.0
A,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
B,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
C,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,0.4,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,5,3,0,0,2,0,,,,
D,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,4,2,0,2,2,2,3,3,0,2,0,0.0359,9.0,7990.0,3.0
E,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,7,4,2,2,2,2,3,3,2,2,0,0.0317,9.0,7990.0,3.0
F,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,5,3,0,0,2,0,0.057,18.0,15970.0,2.0
G,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,2,2,2,3,3,0,2,0,,,,
H,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,3,2,2,2,2,2,3,3,2,2,0,,,,
I,INC-F1-T-ID-01-d2-random40-s0,F1,2,random40,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,12,7,2,2,2,2,3,3,2,2,0,0.0394,9.0,7990.0,2.0
A,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
B,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
C,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.0,1.0,0.4,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,5,3,0,0,2,0,,,,
D,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,4,2,0,2,2,2,3,3,0,2,0,0.0332,9.0,7975.0,3.0
E,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,7,4,2,2,2,2,3,3,2,2,0,0.0319,9.0,7975.0,3.0
F,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,2,5,3,0,0,2,0,0.0515,18.0,15926.0,2.0
G,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,2,2,2,3,3,0,2,0,,,,
H,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3,3,2,2,2,2,2,3,3,2,2,0,,,,
I,INC-F1-T-ID-01-d2-random60-s0,F1,2,random60,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,12,7,2,2,2,2,3,3,2,2,0,0.0403,9.0,7975.0,2.0
A,INC-F1-T-ID-01-d2-targeted-s0,F1,2,targeted,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
B,INC-F1-T-ID-01-d2-targeted-s0,F1,2,targeted,0.5,0.3333333333333333,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0,0,0,0,2,0,0,3,3,0,2,1,,,,
C,INC-F1-T-ID-01-d2-targeted-s0,F1,2,targeted,0.5,0.0,1.0,0.4,0.0,1.0,0.0,0.0,1.0,0,0,0,0,2,2,5,3,0,0,2,0,,,,
